categoria,idiomas,lançamento,titulo
"
				Ação / Aventura / Ficção",: Inglês / Português,09/02/2022,O Livro de Boba Fett - 1ª Temporada
"
				Ação / Aventura / Ficção",: Inglês / Português,09/02/2022,Lego Star Wars - Contos Aterrorizantes
"
				Ação / Aventura / Ficção",: Inglês / Português,09/02/2022,Star Wars - Visions - 1ª Temporada - Legendado
"
				Ação / Aventura / Ficção",: Inglês / Português,09/02/2022,Star Wars - The Bad Batch - 1ª Temporada
"
				Ação / Aventura / Ficção",: Inglês / Português,09/02/2022,O Mandaloriano - The Mandalorian Star Wars - 2ª Temporada
"
				Ação / Aventura / Ficção",: Inglês / Português,09/02/2022,LEGO Star Wars - Especial de Festas
"
				Ação / Aventura / Ficção",: Inglês / Português,09/02/2022,Star Wars - A Guerra dos Clones 1ª até 7ª Temporada
"
				Ação / Aventura / Ficção",: Inglês / Português,09/02/2022,Star Wars - A Saga - Completa
"
				Ação / Aventura / Ficção",: Inglês / Português,09/02/2022,Star Wars - The Clone Wars - 5ª Temporada Completa
"
				Ação / Aventura / Ficção",: Inglês / Português,09/02/2022,Star Wars Rebels - A Fagulha de uma Rebelião
"
				Ação / Aventura / Ficção",: Inglês / Português,09/02/2022,"Star Wars, Episódio VI - O Retorno do Jedi"
"
				Ação / Aventura / Ficção",: Inglês / Português,09/02/2022,"Star Wars, Episódio IX - A Ascensão Skywalker"
"
				Ação / Aventura / Ficção",: Inglês / Português,09/02/2022,Disney Gallery - Star Wars - The Mandalorian
"
				Ação / Aventura / Ficção",: Inglês / Português,09/02/2022,Star Wars - A Ascensão Skywalker 4K
"
				Ação / Aventura / Ficção",: Inglês / Português,09/02/2022,Star Wars - The Clone Wars - 7ª Temporada
"
				Ação / Aventura / Ficção",: Inglês / Português,09/02/2022,Star Wars - A Ascensão Skywalker
"
				Ação / Aventura / Ficção",: Inglês / Português,09/02/2022,Star Wars - A Ascensão Skywalker - Legendado WEB-DL
"
				Ação / Aventura / Ficção",: Inglês / Português,09/02/2022,Star Wars - The Clone Wars - 7ª Temporada - Legendado
"
				Ação / Aventura / Ficção",: Inglês / Português,09/02/2022,Star Wars - Episódio VI - O Retorno de Jedi - 4K
"
				Ação / Aventura / Ficção",: Inglês / Português,09/02/2022,The Mandalorian - O Mandaloriano - Star Wars 1ª Temporada
"
				Ação / Aventura / Clássico / Fantasia / Ficção",: Inglês / Português,01/07/2020,Star Wars - Episódio V - O Império Contra-Ataca - 4K
"
				Ação / Aventura / Clássico / Fantasia / Ficção",: Inglês / Português,01/07/2020,OThe Mandalorian - Mandaloriano - Star Wars 1ª Temporada
